Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Abstract
Absolute and relative outcomes of cognitive behavior therapy for eating disorders in adults: a meta-analysis.,Cuijpers P; Harrer M; Miguel C; Keshen A; Karyotaki E; Linardon J,"Cognitive-behavioral therapy (CBT) is the best examined treatment for eating disorders. However, previous meta-analyses of cognitive-behavioral therapy have not examined absolute outcomes, which are important from a clinical perspective. We updated a meta-analysis and conducted new searches in PubMed, Embase, PsycINFO and CINAHL. We included randomized trials comparing CBT with control conditions in adults with a diagnosed eating disorder. We used random effects models in all analyses. We included 36 trials with 44 comparisons between CBT and controls (2,809 participants), 22 trials on binge eating disorder (BED), 11 on bulimia nervosa (BN), and three on anorexia nervosa and mixed disorders. The overall effect of CBT compared to controls was g = 0.88 (95% CI: 0.71; 1.04), with high heterogeneity (I(2) = 74; 95% CI: 65; 81; PI: -0.06; 1.81) and no significant difference between BED and BN. Effects were smaller studies with low risk of bias. The absolute abstinence rate was 0.36 (95% CI: 0.31; 0.43) for CBT and 0.10 (95% CI: 0.08; 0.12) in controls. CBT is probably effective in the treatment of bulimia nervosa and binge-eating disorder, but there is also a large group of patients who do not respond sufficiently.",2024,Nov,Eat Disord,,,Jan-22,,10.1080/10640266.2024.2421057,39514189,#382,Cuijpers 2024,,Psychological treatment,
Cognitive-behavioural therapy (CBT) for outpatients with anorexia nervosa: a systematic review and meta-analysis of clinical effectiveness.,Duggan HC; Hardy G; Waller G,"Anorexia nervosa is commonly treated using outpatient cognitive-behavioural therapy (CBT), but its effectiveness needs to be established. This systematic review and meta-analysis (PROSPERO CRD42023484924) assessed outpatient CBT's effectiveness for anorexia nervosa and explored potential moderators (pre-treatment Body Mass Index (BMI), age, illness duration, protocol duration of therapy, dropout). Searches (SCOPUS, PsycINFO, MEDLINE, grey literature) identified 26 studies reporting pre- to post-treatment outcomes for at least one primary measure (weight, eating disorder symptoms). Studies were medium to high quality. Secondary outcome data (depression, anxiety, quality of life) were also extracted. Meta-analyses (26 studies) found medium to large post-treatment effect sizes for weight (g = 0.87; 95% CI 0.67-1.08) and eating disorder symptoms (g = -0.74; 95% CI -0.93 - -0.54), with change starting early and increasing to follow-up. Effect sizes for secondary outcome measures were medium to large. Pre-treatment BMI moderated weight gain. This review was constrained by excluding non-English language papers and the limited number of papers reporting minimum data for inclusion. Overall, results suggest an optimistic picture for patients with anorexia nervosa treated with outpatient CBT. Clinicians can expect good outcomes using CBT, regardless of patients' starting weight, age, or illness duration.",2025,Mar,Cogn Behav Ther,,,Jan-46,,10.1080/16506073.2025.2465745,40062366,#386,Duggan 2025,,Anorexia; Psychotherapy,
Eating disorders and disordered eating symptoms in individuals at clinical high risk for psychosis: a systematic review and meta-analysis.,Lo Buglio G; Mirabella M; Muzi L; Boldrini T; Cerasti E; Bjornestad J; Fiorentino F; Polari A; Riccioli E; Rugo MA; Solmi M; Lingiardi V; Tanzilli A,"BACKGROUND: Eating disorders (EDs) are among the least studied mental disorders in individuals at clinical high risk for psychosis (CHR-P). The primary aim (a) of this systematic review and meta-analysis was to identify factors predicting ED diagnoses in CHR-P individuals. The secondary aim (b) was providing a comprehensive clinical description of individuals with both CHR-P and EDs/ED-related symptoms. METHODS: Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) 2020-compliant systematic review and meta-analysis, searching PubMed/(EBSCO)PsycINFO/Web of Science for studies published between 01/01/2018 and 30/05/2023, including individuals with CHR-P and EDs/ED symptoms (PROSPERO CRD42023488792). Quality assessment was performed using the Newcastle-Ottawa Scale (NOS). We performed a meta-regression model on the proportion of EDs in CHR-P individuals (primary aim) and conducted a narrative synthesis (secondary aim). RESULTS: We included 26 articles, reporting on 2,060 and 589 subjects for study aim (a) and (b), respectively (mean NOS score = 6.38). The prevalence of EDs in CHR-P individuals was 0.05 (95% CI 0.3-0.8). No factor had a significant effect on the proportion of EDs in CHR-P individuals. This result is limited by the inability to include ED-related symptoms and antipsychotic prescriptions in the meta-regression model, due to an insufficient number of studies reporting on these variables. The narrative synthesis offers a characterization of individuals with both CHR-P and ED/ED-related symptoms; however, the limited number of included studies is insufficient to support definitive conclusions. CONCLUSIONS: No significant predictor of EDs was found in CHR-P individuals. Transdiagnostic, prospective cohort studies are warranted to examine long-term outcomes in individuals with both CHR-P and EDs, beyond diagnostic silos. LEVEL OF EVIDENCE: I. Systematic review and meta-analysis.",2024,Dec,Eat Weight Disord,29,1,78,,10.1007/s40519-024-01708-x,39729192,#387,LoBuglio 2024,,Prevalence rates; psychological comorbidities,
Mental Health Impacts of Self-Help Interventions for the Treatment and Prevention of Eating Disorders. A Meta-Analysis.,Linardon J; Jarman HK; Liu C; Anderson C; McClure Z; Messer M,"OBJECTIVE: Self-help programs are recommended as a first step in the management of eating disorders. Yet, whether self-help interventions have broader mental health benefits beyond symptom and risk reduction remains unclear. As randomized controlled trials (RCTs) also assess general mental health secondary to eating disorder symptoms, we conducted a meta-analysis to investigate whether and to what extent pure self-help interventions for eating disorders produce improvements in these secondary outcomes. METHOD: Twenty-seven RCTs of pure self-help interventions for the prevention or treatment of eating disorders were included. Mean age ranged from 16 to 46 years. Most self-help interventions were based on cognitive-behavioral therapy. Most interventions were delivered via digital means (Internet, apps, etc.). Random effects meta-analyses were conducted on six outcomes: depression, anxiety, general distress, quality of life, self-esteem, and psychosocial impairment. Analyses were stratified based on pre-selected (at risk/symptomatic) and clinical samples. RESULTS: For pre-selected samples (k = 18), significant pooled effects favoring self-help over controls were observed for depression (g = 0.24), anxiety (g = 0.23), distress (g = 0.23) and self-esteem (g = 0.18). Effects remained robust when adjusting for risk of bias. Non-significant effects were observed for quality of life and impairment. Crucially, > 80% of trials on pre-selected samples delivered a waitlist control. For clinical samples (k = 9), significant pooled effects favoring self-help were found for distress (g = 0.39), impairment (g = 0.39), and quality of life (g = 0.29), although these results should be interpreted with caution as the number of studies was low. CONCLUSION: Self-help interventions produce small improvements in those mental health symptoms that are typically comorbid with eating disorders.",2025,May,Int J Eat Disord,58,5,815-831,,10.1002/eat.24405,40026263,#391,Linardon 2025,"Euna Lee (2025-07-16 05:44:41)(Select): 9 out of 27 samples included a clinical diagnosis; others were ""at-risk"" populations; ",,
"Internet-based cognitive behaviour therapy for the prevention, treatment and relapse prevention of eating disorders: A systematic review and meta-analysis.",Hamid N,"Eating disorders (EDs) are undertreated worldwide. In the UK the lag between recognition of symptoms and treatment ranges from about 15 months to in excess of 2 years. Internet-based cognitive behaviour therapy (ICBT) could be a viable alternative to face-to-face cognitive behaviour therapy (CBT) that avoids the negative impacts of delayed interventions. Based on evidence from randomised controlled trials (RCTs), this systematic review investigated the efficacy of minimally guided self-help ICBT, without face-to-face therapy, for the prevention, treatment and relapse prevention of all types of EDs in adults. The electronic databases MEDLINE, PsychINFO, CENTRAL, Scopus, and Web of Science were searched between 1991 and 2021. Inclusion criteria specified RCTs with ICBT versus inactive comparison groups. The Cochrane Risk of Bias Tool-2 was used for quality assessments. Qualitative synthesis and meta-analyses were conducted. Findings typically showed medium significant beneficial effect sizes for prevention studies ranging from (-0.31 [95% CI: -0.57, -0.06] to -0.47 [95% CI: -0.82, -0.11]) and generally large effect sizes for the treatment studies ranging from (-0.30 [95% CI: -0.57, -0.03] to -1.11 [95% CI: -1.47, -0.75]). Relapse prevention studies yielded mainly small non-significant beneficial effects with significant effect sizes of (-0.29 [95% CI: -0.56, -0.03] and -0.43 [95% CI: -0.70, -0.16]). Only the treatment studies reached clinical significance and cognitive symptoms improved more than behavioural symptoms. ICBT appears to be efficacious for the prevention, treatment and relapse prevention of eating disorders with treatment interventions being the most beneficial. However, the evidence base is very small, particularly for treatment and relapse prevention, indicating the need for more high-quality RCTs.",2024,Feb,Psych J,13,1,May-18,,10.1002/pchj.715,38105569,#396,Hamid 2024,,Prevention; Treatment; digital/tech,
The Lifetime Prevalence of Non-Suicidal Self-Injury in Children and Adolescents With Eating Disorders-A Systematic Review and Meta-Analysis.,Meier M; Jansen K; Vertgewall H; Claes L,"OBJECTIVE: Eating disorders (EDs) and non-suicidal self-injury (NSSI) are both phenomena with onset in adolescence. Their co-occurrence is associated with higher symptom severity and an elevated risk of suicide. In this meta-analysis, we examine the lifetime prevalence of NSSI in youth with EDs. METHODS: We searched PsycInfo, PubMed and previously published systematic reviews for studies reporting on lifetime NSSI prevalence among children and adolescents (19 years or younger) with an ED (anorexia nervosa, bulimia nervosa, binge eating or other specified feeding and EDs) published until June 2024. A generalized linear mixed model meta-analysis was performed to estimate the pooled prevalence. Meta-regressions and multivariate meta-analyses were conducted to estimate separate prevalence rates based on ED diagnosis and care frame (e.g., inpatient vs. outpatient), respectively. RESULTS: Fifteen studies comprising 3311 children and adolescents were included. Pooled lifetime NSSI prevalence across all ED diagnoses was 34.2% [CI: 27.5%-41.7%]. Heterogeneity was large (I(2) = 93.8%). Lifetime NSSI prevalence rates were significantly higher for participants with bulimia nervosa (53.6%) and those with anorexia nervosa binge-eating/purging type (51.9%) than for participants with anorexia nervosa restrictive type (15.8%). DISCUSSION: The small number of studies and the large heterogeneity limit the conclusiveness of this meta-analysis. Results suggest an even higher prevalence of lifetime NSSI in adolescents with an ED than in adults with an ED. The results support previous findings indicating higher prevalence rates of NSSI for EDs associated with binge eating and purging behaviours than for restrictive EDs.",2025,May,Eur Eat Disord Rev,33,3,511-524,,10.1002/erv.3158,39614701,#397,Meier 2025,,Prevalence rates,
Self-Guided Psychological Interventions for the Treatment and Prevention of Eating Disorders: A Meta-Analysis of Randomized Controlled Trials.,Linardon J; Liu C; McClure Z; Jarman HK; Messer M; Anderson C; Fuller-Tyszkiewicz M,"BACKGROUND: Self-guided interventions may broaden the dissemination of evidence-based prevention and treatment protocols for eating disorders. We conducted a meta-analysis comparing self-guided prevention and treatment approaches for eating disorders to (1) control groups and (2) professionally guided self-help programs. METHODS: Forty-six trials were included. Interventions ranged from web, to app, to CD-ROM to book-based programs. Random effects meta-analyses were conducted on numerous symptom and risk outcomes. RESULTS: Only four trials recruited an unselected sample, with self-guided programs reducing shape/weight concerns over control groups (g = 0.18). Among high risk/symptomatic samples (k = 25), self-guided interventions reduced several behavioural and cognitive symptoms (gs = 0.31-0.50) over control groups, with effects being robust when adjusting for higher risk of bias and small sample trials. Among clinical samples (k = 17), evidence for the effectiveness of self-guided interventions over control groups on symptom measures was only found for binge-eating disorder, as too few studies sampled other diagnostic subtypes. Among 10 trials that compared guided to unguided self-help, we observed a significant effect in symptom reduction in favour of guided self-help (g = -0.26). Dropout did not differ between guided and unguided self-help (OR = 0.97). CONCLUSION: Self-guided interventions may be an effective, low intensity intervention format for high risk individuals or for binge-eating disorder presentations.",2025,Apr,Eur Eat Disord Rev,,,,,10.1002/erv.3201,40227160,#399,Linardon 2025,Euna Lee (2025-07-16 05:50:23)(Select): varied criterias across studies; ,Eating behvaior; Treatment,
Effects of cognitive-behavioral and psychodynamic-interpersonal treatments for eating disorders: a meta-analytic inquiry into the role of patient characteristics and change in eating disorder-specific and general psychopathology in remission.,Moberg LT; Solvang B; Sæle RG; Myrvang AD,"BACKGROUND: Cognitive behavior therapy (CBT) and psychodynamic-interpersonal therapies (PIT) are two widely used and conceptually different outpatient treatments for eating disorders (EDs). To better understand how these treatments works, for whom, and under what circumstances, there is a need for knowledge about how outcomes are affected by diagnosis, comorbidity, changes in psychopathology, and study design. METHOD: Reports on the effects of CBT and PIT for eating disorders were searched. Rates of remission and changes in ED specific- and general psychopathology were computed. Regression models were made to predict event rates by changes in specific- and general psychopathology, as well as ED diagnosis and study design. RESULTS: The remission rate of CBT for binge eating disorder was 50%, significantly higher than the effect for other diagnostic groups (anorexia = 33%, bulimia: 28%, mixed samples 30%). The number of studies found for PIT was limited. All effect sizes differed from zero (binge eating disorder = 27%, anorexia = 24%, bulimia = 18%, mixed samples = 15%), but the precision of the estimates was low, with some lower-bound confidence intervals close to zero. For CBT, change in ED specific psychopathology predicted remission only when controlling for ED diagnosis, while change in general psychopathology did not predict remission at all. The predictive value of change in psychopathology for PIT, and the potential impact of comorbid personality disorders could not be analyzed due to a lack of studies. There was no difference in effects between randomized controlled trials and observational studies. CONCLUSIONS: CBT showed consistent remission rates for all EDs but left a substantial number of patients not in remission. Extant evidence suggest that PIT is not consistently effective in achieving remission for patients with EDs, although this finding is uncertain due to a small number of eligible studies. A group of patients with eating disorders may, however, require therapy aimed at strengthening deficits in self functions not easily ameliorable by cognitive behavioral techniques alone. Further research should be aimed at identifying treatment interventions that helps patients change behavior, while strengthening self-functions to substitute eating-disordered behavior in the long-term.",2021,Jun,J Eat Disord,9,1,74,,10.1186/s40337-021-00430-8,34174942,#401,Moberg 2021,,Psychological treatment,
The Unmet Treatment Need for Eating Disorders: What Has Changed in More Than 10 Years? An Updated Systematic Review and Meta-Analysis.,Ali K; Radunz M; McLean SA; O'Shea A; Mavrangelos T; Fassnacht DB; Hart L,"OBJECTIVE: A minority of individuals with eating disorders seek help from health professionals qualified to provide eating disorder care. This review assessed the proportion of individuals with eating disorders who had sought help or received treatment, as an update to an earlier review conducted more than a decade ago. METHOD: Three databases were searched for studies that: (1) included a community sample of help-seekers and non-help seekers, (2) used a standardized eating disorder screening instrument, and (3) assessed the percentage of participants who had sought help specifically for eating disorder concerns. RESULTS: Of 972 articles, 21 studies met inclusion criteria, representing 37,423 participants. The pooled proportion reporting help-seeking from any source (e.g., helpline, support groups, chat rooms as well as health professionals) was 30% and the pooled proportion reporting formal treatment seeking from health professionals (e.g., psychologist) specifically for eating disorder concerns was 32%. However, there was evidence of publication bias across studies. DISCUSSION: These rates suggest little to no improvement in the unmet need for treatment since the last review with studies continuing to focus on white adult women. Help-seeking rates among other populations remain unclear and there is an urgent need to understand reasons for overall low help-seeking rates. Clear definitions and measures of help-seeking with appropriate distinctions between sources of help are needed to improve our understanding of help-seeking pathways and identify solutions to facilitate help-seeking. Better visibility of health professionals qualified to provide safe and effective eating disorder care could help reduce the substantial treatment gap.",2025,Jan,Int J Eat Disord,58,1,46-65,,10.1002/eat.24306,39482805,#404,Ali 2025,"Sasha Gorrell (2025-07-08 02:32:51)(Select): Includes both subclinical and clinical; 'formal' treatment seeking is delineated (vs. just any form of help seeking) - this to me seems like it could be extracted as applying to clinical samples. With that said, I am not sure how lenient we want to be.; ",Treatment,
Non-invasive brain stimulation interventions for treating Clinical and Sub-clinical eating disorders: A meta-analysis of randomized controlled trials and nonrandomized studies.,Xu K; Yi P; Liu J; Ren J; Zhang Q; Yu L; Yang Y; Wang Y; Ma L; Zhang Y; Li X,"This meta-analysis examined the effects of noninvasive brain stimulation (NIBS) for treating eating disorders (EDs), evaluating the difference between repetitive transcranial magnetic stimulation (rTMS) and transcranial direct current stimulation (tDCS). We identified 15 studies on EDs, including 9 RCTs (266 participants) and 6 one-arm trials (59 participants). The pooled effect sizes indicated that NIBS plays a positive role in improving the eating symptoms of ED patients. Although its long-term effects need to be further explored, this treatment has the potential to be an important supplement to conventional ED therapy.",2022,Jul,Psychiatry Res,313,,114592,,10.1016/j.psychres.2022.114592,35526422,#405,Xu 2022,,treatment - neuromodulation,
Additive effects of adjunctive app-based interventions for mental disorders - A systematic review and meta-analysis of randomised controlled trials.,Fuhrmann LM; Weisel KK; Harrer M; Kulke JK; Baumeister H; Cuijpers P; Ebert DD; Berking M,"BACKGROUND: It is uncertain whether app-based interventions add value to existing mental health care. OBJECTIVE: To examine the incremental effects of app-based interventions when used as adjunct to mental health interventions. METHODS: We searched PubMed, PsycINFO, Scopus, Web of Science, and Cochrane Library databases on September 15th, 2023, for randomised controlled trials (RCTs) on mental health interventions with an adjunct app-based intervention compared to the same intervention-only arm for adults with mental disorders or respective clinically relevant symptomatology. We conducted meta-analyses on symptoms of different mental disorders at postintervention. PROSPERO, CRD42018098545. RESULTS: We identified 46 RCTs (4869 participants). Thirty-two adjunctive app-based interventions passively or actively monitored symptoms and behaviour, and in 13 interventions, the monitored data were sent to a therapist. We found additive effects on symptoms of depression (g = 0.17; 95 % CI 0.02 to 0.33; k = 7 comparisons), anxiety (g = 0.80; 95 % CI 0.06 to 1.54; k = 3), mania (g = 0.2; 95 % CI 0.02 to 0.38; k = 4), smoking cessation (g = 0.43; 95 % CI 0.29 to 0.58; k = 10), and alcohol use (g = 0.23; 95 % CI 0.08 to 0.39; k = 7). No significant effects were found on symptoms of depression within a bipolar disorder (g = -0.07; 95 % CI -0.37 to 0.23, k = 4) and eating disorders (g = -0.02; 95 % CI -0.44 to 0.4, k = 3). Studies on depression, mania, smoking, and alcohol use had a low heterogeneity between the trials. For other mental disorders, only single studies were identified. Only ten studies had a low risk of bias, and 25 studies reported insufficient statistical power. DISCUSSION: App-based interventions may be used to enhance mental health interventions to further reduce symptoms of depression, anxiety, mania, smoking, and alcohol use. However, the effects were small, except for anxiety, and limited due to study quality. Further high-quality research with larger sample sizes is warranted to better understand how app-based interventions can be most effectively combined with established interventions to improve outcomes.",2024,Mar,Internet Interv,35,,100703,,10.1016/j.invent.2023.100703,38225971,#410,Fuhrmann 2024,"Kelsey Hagan (2025-07-13 05:44:42)(Select): Could do either way on this one -- the meta-analysis for eating disorders included only 3 studies, one of which focused on BN and the other two on binge eating.; ",ED is a sub-group analysis only; Treatment,
The Neural Correlates of Body Image Processing in Anorexia Nervosa and Bulimia Nervosa: An Activation Likelihood Estimation Meta-Analysis of fMRI Studies.,Norrlin L; Baumann O,"Body image concerns are key prognostic and pathogenic factors of anorexia nervosa (AN) and bulimia nervosa (BN). This study aimed to investigate the neural mechanisms underlying body image perception across its two domains of estimation and satisfaction in anorexia and bulimia patients and healthy controls (HC). Systematic searches were conducted across eight databases, including PubMed; Cochrane Library; Ovid; Google Scholar; Sage Journals; Scopus; PsycInfo; and ScienceDirect, from database inception until the 23rd of April 2023. The sample pertained to 14 functional magnetic resonance imaging (fMRI) studies and 556 participants, with tasks primarily including image and silhouette-based body estimation and satisfaction paradigms. ALE meta-analysis was conducted to investigate significant clusters of activation foci across the different studies. Shared activations were observed between HC, AN, and BN patients in cortical regions related to object manipulation and recognition, visuospatial awareness, and memory and negative affect regulation. Differential activation in interoceptive and higher-order cognitive or affective control regions likely hold the key to pathological body distortion. This study outlined commonalities and differences in the correlates driving healthy body mapping and eating disorder pathology. Our findings provide pertinent implications for future research, current clinical interventions, and therapeutic outcomes.",2025,Jan,Int J Environ Res Public Health,22,1,,,10.3390/ijerph22010055,39857508,#417,Norrlin 2025,,,
The influence of anorexia nervosa on oral health and related parameters potentially relevant to orthodontic treatment: a systematic review and meta-analysis.,Niederau C; Alman E; Rizk M; Becker K; Marx N; Coenen FA; Knaup I; Wolf M; Craveiro RB,"OBJECTIVES: Information on the oral health of patients with anorexia nervosa remains not satisfactory. The aim of this systematic review is to evaluate oral health parameters in anorexic patients compared to healthy individuals. Furthermore, potential clinical implications for orthodontic treatment are discussed from an orthodontic perspective. MATERIALS AND METHODS: Electronic databases were searched for case-control and controlled clinical trial studies on dentofacial manifestations in anorexic patients up to 2/2024. Study selection, data extraction and risk of bias assessment was done independently by two authors. Random-effects meta-analyses of mean differences (MDs) or relative risks (RRs) with their 95% confidence intervals (CIs) were conducted, followed by sensitivity analyses. RESULTS: Eleven out of 573 initially identified studies were included. They involved oral health analyses of general anorexic patients ≥ 12 years (mean age 18.4). The meta-analysis showed that anorexia nervosa was associated with a significantly increased caries experience (DMFT), plaque accumulation and gingival inflammation (BOP). PH and salivary flow rate were significantly altered in patients with anorexia nervosa, although no significant relationship between α-amylase levels and anorexia nervosa was demonstrated. CONCLUSIONS: These data enabled us to formulate modalities for anorexia-specific orthodontic treatments. Based on the results, patients with anorexia nervosa exhibit an increased risk of caries and gingival inflammatory signs. CLINICAL RELEVANCE: The systematic information on dentofacial manifestations obtained in this study should be considered to better manage the oral health of anorexia patients.",2025,Jan,Clin Oral Investig,29,1,76,,10.1007/s00784-024-05774-4,39841278,#419,Niederau 2025,,Anorexia; Medical complications; medical aspects of ED,
Family therapy and cognitive behavior therapy for eating disorders in children and adolescents in routine clinical care: a systematic review and meta-analysis.,Wergeland GJ; Ghaderi A; Fjermestad K; Enebrink P; Halsaa L; Njardvik U; Riise EN; Vorren G; Öst LG,"Family therapy for eating disorders (ED) is well-established and represents the treatment choice for ED in children and adolescents according to guidelines, with cognitive behavior therapy (CBT) as a second line treatment. There is limited knowledge about how these treatments work in routine clinical care. The goal of the present meta-analysis is to investigate the effectiveness of family therapy and CBT for various EDs in children and adolescents when carried out in routine clinical care. Ovid MEDLINE, Embase OVID, and PsycINFO were searched for articles published until December 2023. The outcome of family therapy and CBT, methodological quality, risk of bias, and moderators of treatment outcome were examined and benchmarked by meta-analytically comparing with ED efficacy studies. Forty-four effectiveness studies comprising 3251 family therapy or CBT patients were included. Large to very large within-group effect sizes (ES) were found for ED-psychopathology (0.80) and weight measures for AN (1.64) at post treatment. The attrition rate was 15%. Risk of bias was considerable. Moderate to large ES were found for family therapy and CBT, respectively. The benchmarking analysis showed that effectiveness studies had comparable ESs to efficacy studies (0.80 and 0.84 for the ED-psychopathology at post treatment). The findings support family therapy and CBT for ED in children and adolescents as effective treatments when delivered in routine clinical care, with effects comparable with those found in efficacy studies. The evidence needs to be interpreted with caution because of the risk of bias in a high proportion of studies.PROSPERO [CRD42023441794].",2025,Mar,Eur Child Adolesc Psychiatry,34,3,883-902,,10.1007/s00787-024-02544-1,39190154,#420,Wergeland 2025,,Adolescents; Child; treatment - behavioral,
Common and distinct neural patterns of gray matter alterations in adults with anorexia nervosa and obsessive-compulsive disorder.,Wan X; Zhang P; Jiang Y; Liu G; Ma L; Zhang J,"Anorexia nervosa (AN) and obsessive-compulsive disorder (OCD) often share multiple similar symptoms and are highly comorbid; however, the common and distinct brain neuroanatomy of these two diseases are unclear. The current study attempted to identify the overlapping and different gray matter volume (GMV) between AN and OCD. We conducted a voxel-wise meta-analysis of GMV using the latest Seed-based d Mapping with Permutation of Subject Images Toolbox (SDM-PSI) software. Compared to healthy controls, patients with AN showed reduced GMV in supplementary motor areas, median cingulate cortices, the left cerebellum, right Rolandic operculum (RO), right insula, right superior temporal gyrus (STG), and right precuneus, while OCD patients were characterized by low GMV in the right insula, STG, RO, and inferior frontal gyrus (IFG). The conjunctional analysis indicated that these two disorders have overlapping structural abnormalities in the right insula, STG, RO and IFG. No distinct GMV alteration was found. These common structural brain abnormalities may underlie the neuropathology of the similar neuropsychological features and highly comorbid manifestations of AN and OCD.",2025,Jan,Eur Arch Psychiatry Clin Neurosci,,,,,10.1007/s00406-024-01946-1,39875730,#433,Wan 2025,,,
The effect of eHealth-based guided self help interventions for binge eating disorder : a meta-analysis of randomized controlled trials.,Tuncer GZ; Tuncer M,"With rapid technological advancements, eHealth-based guided self-help interventions have become accessible, flexible, cost-effective, and stigma-reducing treatment options for binge eating disorder (BED). This meta-analysis evaluated the effectiveness of these interventions in individuals diagnosed with BED or showing BED symptoms, based on eight randomized controlled trials with 1,575 participants. Intervention length varied between a single session to four months. Six studies focused solely on web-based guided self-help interventions, one study implemented a hybrid approach combining face-to-face and online components, and another study employed two distinct online guided self-help methods. The interventions included psychoeducational modules, therapist feedback, online behavior monitoring, and self-assessments. eHealth-based guided self-help significantly reduced binge eating psychopathology (SMD: 0.53; 95% CI: 0.20-0.86) and objective binge eating (OBE) days (SMD: 0.49; 95% CI: 0.12-0.85) compared to controls. These interventions offer effective solutions for individuals facing barriers to traditional treatment access.",2025,May,Eat Disord,,,Jan-23,,10.1080/10640266.2025.2498247,40325866,#445,Tuncer 2025,,Binge-eating disorder; Treatment,
Psychiatric disorders in individuals born very preterm / very low-birth weight: An individual participant data (IPD) meta-analysis.,Anderson PJ; de Miranda DM; Albuquerque MR; Indredavik MS; Evensen KAI; Van Lieshout R; Saigal S; Taylor HG; Raikkonen K; Kajantie E; Marlow N; Johnson S; Woodward LJ; Austin N; Nosarti C; Jaekel J; Wolke D; Cheong JL; Burnett A; Treyvaud K; Lee KJ; Doyle LW,"BACKGROUND: Data on psychiatric disorders in survivors born very preterm (VP; <32 weeks) or very low birthweight (VLBW; <1500 g) are sparse. We compared rates of psychiatric diagnoses between VP/VLBW and term-born, normal birthweight (term/NBW) control participants. METHODS: This individual participant data (IPD) meta-analysis pooled data from eligible groups in the Adults born Preterm International Collaboration (APIC). Inclusion criteria included: 1) VP/VLBW group (birth weight <1500 g and/or gestational age <32 weeks), 2) normal birth weight/term-born control group (birth weight >2499 g and/or gestational age ≥37 weeks), and 3) structured measure of psychiatric diagnoses using DSM or ICD criteria. Diagnoses of interest were Attention Deficit Hyperactivity Disorder (ADHD), Autism Spectrum Disorder (ASD), Anxiety Disorder, Mood Disorder, Disruptive Behaviour Disorder (DBD), Eating Disorder, and Psychotic Disorder. A systematic search for eligible studies was conducted (PROSPERO Registration Number 47555). FINDINGS: Data were obtained from 10 studies (1385 VP/VLBW participants, 1780 controls), using a range of instruments and approaches to assigning diagnoses. Those born VP/VLBW had ten times higher odds of meeting criteria for ASD (odds ratio [OR] 10·6, 95% confidence interval [CI] 2·50, 44·7), five times higher odds of meeting criteria for ADHD (OR 5·42, 95% CI 3·10, 9·46), twice the odds of meeting criteria for Anxiety Disorder (OR 1·91, 95% CI 1·36, 2·69), and 1·5 times the odds of meeting criteria for Mood Disorder (OR 1·51, 95% CI 1·08, 2·12) than controls. This pattern of findings was consistent within age (<18 years vs. ≥18 years) and sex subgroups. INTERPRETATION: Our data suggests that individuals born VP/VLBW might have higher odds of meeting criteria for certain psychiatric disorders through childhood and into adulthood than term/NBW controls. Further research is needed to corroborate our results and identify factors associated with psychiatric disorders in individuals born VP/VLBW. FUNDING: Australia's National Health & Medical Research Council; CAPES (Coordenação de Aperfeiçoamento de Pessoal deNível Superior) - International Cooperation General Program; Canadian Institutes of Health Research Team Grant; National Council for Scientific and Technological Development (CNPq); Academy of Finland; Sigrid Juselius Foundation; Signe and Ane Gyllenberg Foundation; European Union's Horizon 2020 research and innovation programme: Project RECAP-Preterm; European Commission Dynamics of Inequality Across the Life-course: structures and processes (DIAL); Neurologic Foundation of New Zealand; MRC programme grant; Health Research Council of New Zealand; National Institutes of Health, USA; The Research Council of Norway; Joint Research Committee between St. Olavs Hospital and Faculty of Medicine and Health Sciences, Norwegian University of Science and Technology (NTNU); Liaison Committee between Central Norway Regional Health Authority and NTNU.",2021,Dec,EClinicalMedicine,42,,101216,,10.1016/j.eclinm.2021.101216,34901794,#452,Anderson 2021,,Prevalence rates; Risk factors,
